Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC552326,uncharacterized LOC552326,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.93,-1.18,-2.65,-2.76,-0.25,-1.72,-1.83,-1.47,-1.58,1.74
LOC100577833,histone H1.2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,-2.06,-0.97,-1.18,-1.02,1.09,0.88,1.04,-0.21,-0.05,-0.79
LOC411093,testis-specific serine/threonine-protein kinase 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,2.04,1.62,1.89,2.02,-0.42,-0.15,-0.01,0.27,0.41,-0.22
LOC102656258,nuclear RNA export factor 2-like,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,1.16,0.72,0.87,1,-0.44,-0.28,-0.16,0.16,0.28,0.18
LOC107965626,uncharacterized LOC107965626,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,1.35,0.99,1.1,1.02,-0.36,-0.25,-0.34,0.11,0.02,0.23
LOC100578546,uncharacterized LOC100578546,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.07,-0.01,0.02,0.43,-0.08,-0.04,0.36,0.03,0.43,1.31
LOC102655047,zinc finger protein 676,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.99,0.61,0.79,0.75,-0.38,-0.2,-0.24,0.18,0.14,0.29
LOC412296,deformed epidermal autoregulatory factor 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8,0.46,0.34,0.15,0.26,-0.12,-0.31,-0.21,-0.19,-0.08,0.39
LOC100576916,cuticle protein 18.7,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.93,-1.48,-2.42,-2.74,-0.54,-1.49,-1.81,-0.95,-1.27,1.64
LOC408969,aminoacylase-1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.14,0.41,0.78,0.92,0.27,0.64,0.78,0.37,0.51,-0.62
LOC412215,chitin synthase chs-2,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.71,0.75,1.48,1.86,0.04,0.77,1.14,0.73,1.1,-0.86
LOC411706,"phospholipase B1, membrane-associated",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-1.45,-1.86,-4.03,-4.74,-0.41,-2.57,-3.29,-2.17,-2.88,2.87
LOC411071,dnaJ protein homolog 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,2,0.7,0.99,1.09,-1.3,-1.01,-0.91,0.29,0.39,0.55
LOC411262,leucine-zipper-like transcriptional regulator 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.18,0.9,0.91,0.99,-0.29,-0.27,-0.2,0.02,0.09,0.29
LOC409107,homeobox protein 5,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.94,-0.58,-0.69,-0.88,0.36,0.26,0.06,-0.1,-0.3,-0.27
LOC411250,DEAD-box ATP-dependent RNA helicase 20,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-1.06,-0.78,-0.68,-0.72,0.29,0.38,0.34,0.09,0.05,-0.4
LOC724756,uncharacterized LOC724756,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.12,0.86,1.02,1.04,-0.26,-0.1,-0.08,0.16,0.18,0.1
LOC107966102,uncharacterized LOC107966102,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,2.43,0.88,0.84,0.93,-1.55,-1.59,-1.5,-0.04,0.04,0.93
LOC102654858,zinc finger and BTB domain-containing protein 41,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,1.16,0.64,0.73,1.03,-0.52,-0.43,-0.13,0.09,0.39,0.32
LOC551308,probable serine/threonine-protein kinase ndrD,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.71,-0.55,-0.61,-0.67,0.17,0.11,0.04,-0.06,-0.12,-0.13
LOC412540,carcinine transporter,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8,-0.6,-0.58,-1.03,-1.21,0.02,-0.43,-0.61,-0.45,-0.63,0.17
